city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Bangalore,Go Sedan,rider_canceled,2025-05-07T03:00:45.000Z,,12.937968,77.54966,"",,12.937968,77.54966,"26/C, Hosur Rd, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",0.0,Indian Rupee,0.0
Bangalore,uberPLUS,completed,2025-05-02T22:03:39.000Z,2025-05-02T22:13:47.000Z,13.197184,77.71447,"Karnataka 534320, India",2025-05-02T23:14:49.000Z,12.935562,77.542,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",26.84,Indian Rupee,1421.72
Bangalore,Go Sedan 2,completed,2025-05-02T20:45:00.000Z,2025-05-02T20:37:36.000Z,12.935492,77.542,"234, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",2025-05-02T21:29:57.000Z,13.198647,77.715256,"Terminal 2, Bengaluru, Gangamuthanahalli, Karnataka 560300, India",26.76,Indian Rupee,1388.71
Bangalore,Uber Go Priority,completed,2025-04-30T18:36:42.000Z,2025-04-30T18:51:00.000Z,12.946365,77.53048,"Mysore Rd, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru, Karnataka 560039, India",2025-04-30T18:56:47.000Z,12.935523,77.54207,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",1.67,Indian Rupee,144.39
Bangalore,uberGO,rider_canceled,2025-04-30T18:33:54.000Z,,12.946113,77.530045,"",,12.946113,77.530045,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",0.0,Indian Rupee,0.0
Bangalore,AUTO Agram,rider_canceled,2025-04-30T18:30:51.000Z,,12.946113,77.530045,"",,12.946113,77.530045,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",0.0,Indian Rupee,0.0
Bangalore,uberGO,rider_canceled,2025-04-30T18:28:11.000Z,,12.946113,77.530045,"",,12.946113,77.530045,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",0.0,Indian Rupee,0.0
Bangalore,uberPLUS,rider_canceled,2025-04-30T17:24:20.000Z,,12.99391,77.70138,"",,12.99391,77.70138,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",0.0,Indian Rupee,0.0
Bangalore,Uber Go Priority,rider_canceled,2025-04-30T17:11:30.000Z,,12.995403,77.70138,"",,12.995403,77.70138,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",0.0,Indian Rupee,0.0
Bangalore,Uber Go Priority,rider_canceled,2025-04-30T16:50:46.000Z,,12.995451,77.701324,"",,12.995451,77.701324,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",0.0,Indian Rupee,0.0
Bangalore,Go Sedan,rider_canceled,2025-04-30T16:48:27.000Z,,12.995131,77.70137,"",,12.995131,77.70137,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",0.0,Indian Rupee,0.0
Bangalore,Go Sedan,completed,2025-04-23T17:56:48.000Z,2025-04-23T18:22:38.000Z,13.196847,77.714424,"Unnamed Road, Gangamuthanahalli, Karnataka 560300, India",2025-04-23T19:16:57.000Z,12.935483,77.542,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",27.06,Indian Rupee,1331.99
Bangalore,Go Sedan 2,completed,2025-04-23T16:21:20.000Z,2025-04-23T16:30:56.000Z,12.935455,77.54208,"235/236, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",2025-04-23T17:37:42.000Z,13.198912,77.7154,"Terminal 2, Bengaluru, Gangamuthanahalli, Karnataka 560300, India",26.49,Indian Rupee,1197.7
Bangalore,uberGO,completed,2025-04-07T05:25:41.000Z,2025-04-07T05:37:49.000Z,12.927212,77.561554,,2025-04-07T06:20:13.000Z,12.845264,77.66501,"Electronic City Flyover, RMWC+6W7, Singasandra, Electronics City Phase 1, Garvebhavi Palya, Bengaluru, Karnataka 560100, India",11.38,Indian Rupee,463.52
Bangalore,Short_trip Auto,completed,2025-04-04T12:02:01.000Z,2025-04-04T12:10:19.000Z,12.938837,77.57165,,2025-04-04T12:22:41.000Z,12.9355545,77.54199,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",2.7,Indian Rupee,92.37
Bangalore,uberGO,completed,2025-03-04T02:46:49.000Z,2025-03-04T02:53:06.000Z,12.938302,77.54931,,2025-03-04T03:38:26.000Z,12.845402,77.66379,"26/C, Hosur Rd, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",14.08,Indian Rupee,555.11
Bangalore,Uber Go Priority,completed,2025-02-22T16:41:33.000Z,2025-02-22T16:48:08.000Z,13.009953,77.55452,,2025-02-22T17:28:14.000Z,12.935562,77.542015,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",6.92,Indian Rupee,252.53
Bangalore,Go Sedan,rider_canceled,2025-02-22T16:38:03.000Z,,13.009859,77.55452,,,13.009859,77.55452,"6th block, 2nd Phase, 235, 4th Main Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India",0.0,Indian Rupee,0.0
Bangalore,Go Sedan,completed,2025-02-22T12:56:12.000Z,2025-02-22T13:01:04.000Z,12.93553,77.541985,,2025-02-22T13:43:41.000Z,13.011735,77.554504,"Dr Rajkumar Rd, Rajajinagar, Bengaluru, Karnataka 560055, India",7.01,Indian Rupee,254.69
